"      x"
"Min.   :3.438e-13  "
"1st Qu.:8.501e-13  "
"Median :1.117e-12  "
"Mean   :1.211e-12  "
"3rd Qu.:1.505e-12  "
"Max.   :2.909e-12  "
"4.73100495846155e-13"
